Max Recommended
_______________________
Top Recommended
3, 0110001000000000100, 802, Hard Target (1993)
3, 0100011000010000100, 17, From Dusk Till Dawn (1996)
3, 0100001000000000100, 273, Heat (1995)
3, 0100001000000000100, 1139, Hackers (1995)
2, 0110011000000000000, 29, Batman Forever (1995)
Bottom Recommended
1, 1000000000000000000, 267, unknown
1, 1000000000000000000, 1373, Good Morning (1971)
1, 0011110001000000000, 820, Space Jam (1996)
1, 0011110000001000000, 993, Hercules (1997)
1, 0011100000001000000, 1091, Petes Dragon (1977)


Min Recommended
_______________________
Top Recommended
4, 0000011010000100000, 312, Midnight in the Garden of Good and Evil (1997)
3, 0100011010000000000, 1138, Best Men (1997)
3, 0000011010000000000, 1647, Hana-bi (1997)
3, 0000011010000000000, 1104, Cest arrivé près de chez vous (1992)
3, 0000011000000100100, 902, Big Lebowski, The (1998)
Bottom Recommended
1, 1000000000000000000, 267, unknown,)
1, 1000000000000000000, 1373, Good Morning (1971)
1, 0111100001000000000, 1076, Pagemaster, The (1994)
1, 0111000000010001000, 101, Heavy Metal (1981)

